,State,NAPCS School ID,NCES ID,School Name,ModCount,Virtual Flag,Locale,Address,City,County,ZIP,Latitude,Longitude,nearest_tc,distance
27,AR,C0511005,50040601551,Pine Bluff Lighthouse Upper Academy,4,No,Urban,708 W Second St,Pine Bluff,Jefferson County,71601,34.22823,-92.009911,Jefferson Regional Medical Center,2.771462674697883
28,AR,C0512004,51095001555,Osceola Stem Academy,1,No,Town,112 N School St,Osceola,Mississippi County,72370,35.704012,-89.975661,Regional One Health,38.921816884158936
29,AR,C0512005,50040201560,Jacksonville Lighthouse College Prep Academy,4,No,Suburban,251 N First St,Jacksonville,Pulaski County,72076,34.86871,-92.108381,UAMS Medical Center,14.633443785655112
30,AR,C0513001,50000601570,Brunson New Vision Charter,1,No,Town,212 Scobey Dr,Warren,Bradley County,71671,33.6273,-92.0682,Jefferson Regional Medical Center,38.89305929512368
31,AR,C0513002,51197001586,Rogers New Technology High School,1,No,Urban,2922 S First St,Rogers,Benton County,72758,36.301621,-94.119223,Mercy Hospital Joplin,55.18535467090124
32,AR,C0513003,50040901574,Northwest Arkansas Classical Academy,1,No,Urban,1300 Melissa Dr Ste 216,BENTONVILLE,Benton County,72712,36.3613,-94.226931,Mercy Hospital Joplin,49.20278311307247
33,AR,C0513007,50332001578,Blytheville High School - A New Tech School,1,No,Town,600 N Tenth St,Blytheville,Mississippi County,72315,35.933693,-89.912935,Regional One Health,55.070185228636014
34,AR,C0513008,50040801579,Premier High School Of Little Rock,1,No,Urban,1621 Dr Martin Luther King Dr,Little Rock,Pulaski County,72206,34.73473,-92.289161,UAMS Medical Center,2.039353173547176
35,AR,C0513009,50279001590,Bauxite Miner Academy,1,No,Rural,800 School St,Bauxite,Saline County,72011,34.553522,-92.51083,Baptist Health Medical Center-Little Rock,15.112518632772828
36,AR,C0513010,50040901606,Northwest Arkansas Classical Academy High,4,No,Urban,1300 Melissa Dr Ste 216,BENTONVILLE,Benton County,72712,36.3613,-94.226931,Mercy Hospital Joplin,49.20278311307247
37,AR,C0513011,50039801468,E-Stem Public Charter Elementary School,1,No,Urban,112 W 3Rd St,Little Rock,Pulaski County,72201,34.746472,-92.271514,UAMS Medical Center,2.8050392880940223
38,AR,C0513012,50039801467,E-Stem Public Charter Middle School,1,No,Urban,112 W 3Rd St,Little Rock,Pulaski County,72201,34.746472,-92.271514,UAMS Medical Center,2.8050392880940223
39,AR,C0514001,50804001594,Academies Of West Memphis,1,No,Suburban,501 Broadway,West Memphis,Crittenden County,72301,35.147937,-90.196889,Regional One Health,9.326496324868227
40,AR,C0514002,50041101599,Exalt Academy Of Southwest Little Rock,1,No,Urban,6111 W 83Rd St,Little Rock,Pulaski County,72209,34.67407,-92.345621,CHI St. Vincent Infirmary Medical Center,5.24394621449971
41,AR,C0514003,50642001605,Fountain Lake Middle School Cobra Digital Prep Academy,1,No,Rural,4207 Park Ave,Hot Springs,Garland County,71901,34.57159,-92.98837,CHI St. Vincent Hot Springs,8.411295829137236
42,AR,C0514006,50000601334,WARREN MIDDLE SCHOOL,1,No,Town,210 Scobey Dr,Warren,Bradley County,71671,33.62741,-92.067595,Jefferson Regional Medical Center,38.88291053992906
43,AR,C0514007,50006201595,KIPP Blytheville Collegiate High School,1,No,Rural,1200 Byrum Rd,Blytheville,Mississippi County,72315,35.908096,-89.920062,Regional One Health,53.266435100060264
44,AR,C0514008,50007401473,Lisa Academy - North Middle,1,No,Suburban,5410 Landers Rd,Sherwood,Pulaski County,72117,34.800376,-92.213012,UAMS Medical Center,7.088501457300288
45,AR,C0514009,50007401485,Lisa Academy - North Elementary,1,No,Suburban,5410 Landers Rd,Sherwood,Pulaski County,72117,34.800376,-92.213012,UAMS Medical Center,7.088501457300288
46,AR,C0514010,50007401501,Lisa Academy - Nlr High School,1,No,Suburban,5410 Landers Rd,Sherwood,Pulaski County,72117,34.800376,-92.213012,UAMS Medical Center,7.088501457300288
47,AR,C0515001,50041301613,Capital City Lighthouse Charter School,1,No,Urban,3901 Virginia Ave,North Little Rock,Pulaski County,72117,34.791306,-92.291749,UAMS Medical Center,3.380347104976279
48,AR,C0515003,50642000384,Fountain Lake Charter High School,4,No,Rural,4207 Park Ave,Hot Springs,Garland County,71901,34.57159,-92.98837,CHI St. Vincent Hot Springs,8.411295829137236
49,AR,C0515008,51245001003,Siloam Springs High School,1,No,Rural,700 N Progress Ave,Siloam Springs,Benton County,72761,36.19226,-94.513271,Mercy Hospital Joplin,58.32447037274843
50,AR,C0515009,51254001012,Southside Charter High School,1,No,Rural,70 Scott Dr,Batesville,Independence County,72501,35.701949,-91.631404,UAMS Medical Center,76.5047633077504
51,AR,C0516002,50405000148,Cave City High School Career & Collegiate Preparatory School,1,No,Rural,620 N Main St,Cave City,Sharp County,72521,35.951084,-91.549804,UAMS Medical Center,93.75907557127952
52,AR,C0516003,50612001636,Fayetteville Virtual Academy,1,Yes,Urban,300 S Ray Ave,Fayetteville,Washington County,72701,36.058107,-94.132395,Cox Medical Center Branson,65.1709639376844
53,AR,C0516004,50041801627,Future School Of Fort Smith,1,No,Urban,622 N 7Th St,Fort Smith,Sebastian County,72901,35.391377,-94.419531,Saint Francis Hospital,92.08313777324922
54,AR,C0516005,50654000390,Gentry High School Conversion Charter,1,No,Rural,1295 Pioneer Ln,Gentry,Benton County,72734,36.257349,-94.494867,Mercy Hospital Joplin,53.833043174233545
55,AR,C0516006,50789000509,Hot Springs World Class High School,1,No,Urban,701 Emory St,Hot Springs,Garland County,71913,34.475091,-93.070143,CHI St. Vincent Hot Springs,0.5255900656252629
56,AR,C0516007,50007401624,Lisa Academy Chenal,1,No,Urban,12200 Westhaven Dr,Little Rock,Pulaski County,72211,34.751541,-92.409382,Baptist Health Medical Center-Little Rock,1.6817222427896619
57,AR,C0516008,50005901619,Scott Charter School,1,No,Rural,15306 Alexander Rd,Scott,Pulaski County,72142,34.701298,-92.098643,UAMS Medical Center,13.035637368327341
58,AR,C0516010,50041701632,Arkansas Connections Academy High,1,Yes,Urban,609 Sw 8Th St,BENTONVILLE,Benton County,72712,36.36324,-94.216031,Mercy Hospital Joplin,49.27165816171412
59,AR,C0516011,50789000514,Hot Springs Junior Academy,1,No,Urban,701 Main St,Hot Springs,Garland County,71913,34.487364,-93.074182,CHI St. Vincent Hot Springs,1.3998587992105578
60,AR,C0517001,50007801640,Haas Hall Academy at The Jones Center,1,No,Urban,922 EAST EMMA AVE,Springdale,Washington County,72764,36.186888,-94.119485,Cox Medical Center Branson,59.336805408333966
61,AR,C0517002,50007801639,Haas Hall Academy Rogers,1,No,Urban,121 WEST POPLAR ST,Rogers,Benton County,72756,36.331290,-94.117241,Mercy Hospital Joplin,53.348531378253675
62,AR,C0517003,50735000447,Harrisburg College & Career Preparatory School,1,No,Rural,207 WEST ESTES,Harrisburg,Poinsett County,72432,35.559924,-90.723999,Regional One Health,48.50348449531503
63,AR,C0517006,51068001641,North Little Rock Center of Excellence,1,No,Urban,2201 WEST 22ND ST,North Little Rock,Pulaski County,72114,34.776340,-92.268121,UAMS Medical Center,3.553472173533286
64,AR,C0517007,51176000895,Prairie Grove High School,1,No,Town,500 Cole,Prairie Grove,Washington County,72753,35.984416,-94.317676,Mercy Hospital Joplin,73.46213703749909
65,AR,C0517008,51341001650,River Valley Virtual Academy,1,Yes,Suburban,821 Pointer Trail,Van Buren,Crawford County,72956,35.46022,-94.350131,Saint Francis Hospital,93.36706863443533
66,AR,C0517012,50738000452,Harrison High School Conversion Charter,1,No,Town,925 Goblin Dr,Harrison,Boone County,72601,36.241931,-93.133072,Cox Medical Center Branson,28.697679957749667
67,AR,C0518002,50042301657,Friendship Aspire Academy,3,No,Urban,3911 S Hazel St,Pine Bluff,Jefferson County,71603,34.189575,-92.022838,Jefferson Regional Medical Center,0.30205498113783813
68,AR,C0518003,50975001665,Polk County Virtual Academy,1,Yes,Rural,1100 E Boundary Ave,MENA,Polk County,71953,34.578559,-94.213791,CHI St. Vincent Hot Springs,65.76504766625007
69,AR,C0518004,50039801666,Estem East Village Elementary Public Charter School,1,No,Urban,410 Shall Ave,Little Rock,Pulaski County,72202,34.74308,-92.25783,UAMS Medical Center,3.598482390128551
70,AR,C0518005,50039801658,Estem East Village Junior High Public Charter School,4,No,Urban,400 Shall Ave,Little Rock,Pulaski County,72202,34.743001,-92.256977,UAMS Medical Center,3.6472180472028835
71,AR,C0518006,50042001638,The Excel Center,1,(blank),Urban,7400 Scott Hamilton Rd,Little Rock,Pulaski County,72209,34.683750,-92.323315,UAMS Medical Center,4.484411126250741
72,AR,C0518007,50042101656,Ivy Primary Academy,1,No,Urban,2410 S Battery St,Little Rock,Pulaski County,72206,34.725914,-92.294822,UAMS Medical Center,2.1554988204436123
73,AR,C0519002,50042401681,Friendship Aspire Elementary Academy Little Rock,1,No,Urban,3615 WEST 25TH STREET,Little Rock,Pulaski County,72204,34.728921,-92.314561,UAMS Medical Center,1.4072821579370687
74,AR,C0519003,50042401683,Friendship Aspire Middle Academy Little Rock,1,No,Urban,3615 WEST 25TH STREET,Little Rock,Pulaski County,72204,34.728921,-92.314561,UAMS Medical Center,1.4072821579370687
75,AR,C0519004,50007401672,Lisa Academy Springdale,1,No,Urban,301 HOLCOMB STREET,Springdale,Washington County,72764,36.183435,-94.131005,Cox Medical Center Branson,60.00574541797807
76,AR,C0519005,50042101669,NICHOLS INTERMEDIATE ACADEMY,1,(blank),Urban,2410 S Battery St,Little Rock,Pulaski County,72206,34.725914,-92.294822,UAMS Medical Center,2.1554988204436123
77,AR,C0519006,50042501686,Premier High School Of North Little Rock,1,No,Urban,801 WEST 29TH STREET,North Little Rock,Pulaski County,72114,34.781136,-92.274917,UAMS Medical Center,3.4417133716008323
78,AR,C0519007,50040901685,West Little Rock Classical Academy,1,No,Urban,1815 RAHLING RD,Little Rock,Pulaski County,72212,34.772613,-92.446553,Baptist Health Medical Center-Little Rock,4.197328367026919
79,AR,C0519009,50894001569,Lincoln High School; New Tech,1,Yes,Rural,1392 E Pridemore Dr,Lincoln,Washington County,72744,35.947,-94.406171,Mercy Hospital Joplin,75.48905006163176
80,AR,C0519010,50004300676,Mountain Home High School Career Academies,1,Yes,Town,500 Bomber Blvd,MOUNTAIN HOME,Baxter County,72653,36.330899,-92.395787,Cox Medical Center Branson,50.93063476878749
81,AR,C0519011,51266001633,Springdale School Of Innovation,1,Yes,Rural,2667 Hylton Rd,Springdale,Washington County,72764,36.151717,-94.085672,Cox Medical Center Branson,59.156864284159305
82,AR,C0520010,50669001720,CENTERPOINT ACADEMY OF AGRICULTURE & SKILLS TRADES,1,(blank),Rural,755 Hwy 8 E,AMITY,Pike County,71921,34.287105,-93.50957,CHI St. Vincent Hot Springs,28.203520883304233
83,AR,C0520016,51254001702,SOUTHSIDE JUNIOR HIGH SCHOOL,1,(blank),Rural,70 Scott Drive,Batesville,Independence County,72501,35.69967,-91.62983,UAMS Medical Center,76.41481648066457
84,AZ,C0400001,40036802037,Academy Of Math And Science,1,No,Urban,1557 W Prince Rd,Tucson,Pima County,85705,32.271952,-110.999982,Banner - University Medical Center Tucson,3.793711758448959
85,AZ,C0400003,40040502053,Cornerstone Charter School,1,No,Urban,7107 N Black Canyon Hwy,PHOENIX,Maricopa County,85021,33.541142,-112.111786,HonorHealth John C. Lincoln Medical Center,3.032164609175322
86,AZ,C0400004,40042901994,Country Gardens Charter School,1,No,Suburban,6313 W Southern Ave,Laveen,Maricopa County,85339,33.391124,-112.194826,St. Joseph's Hospital and Medical Center,9.107267536984448
87,AZ,C0400006,40032202205,Desert Rose Academy Charter School,1,No,Urban,326 W FORT LOWELL RD,Tucson,Pima County,85705,32.265700,-110.976300,Banner - University Medical Center Tucson,2.4430027510127057
88,AZ,C0400009,40027502077,Highland Free School,1,No,Urban,510 S HIGHLAND AVE,Tucson,Pima County,85719,32.215300,-110.952100,Banner - University Medical Center Tucson,1.8137376888081809
89,AZ,C0400010,40023102021,James Madison Preparatory School,1,No,Urban,5815 S MCCLINTOCK DR,TEMPE,Maricopa County,85283,33.369800,-111.910600,Banner Desert Medical Center,2.3703030594234615
90,AZ,C0400011,40026402084,Montessori De Santa Cruz - St. Ann's Hall,1,No,Rural,2231 E FRONTAGE RD,TUBAC,Santa Cruz County,85646,31.615970,-111.050311,Banner - University Medical Center Tucson,43.62041416586651
91,AZ,C0400013,40038502016,Crestview College Preparatory High School,1,No,Urban,2616 E GREENWAY RD,PHOENIX,Maricopa County,85032,33.626948,-112.026168,HonorHealth John C. Lincoln Medical Center,4.768152779713645
92,AZ,C0400014,40020102069,Pima Vocational High School Irvington Campus,1,No,Urban,175 W IRVINGTON RD,Tucson,Pima County,85714,32.162836,-110.970465,Banner - University Medical Center Tucson,5.588326894219562
93,AZ,C0400015,40039402323,Precision Academy,1,No,Urban,7318 W LYNWOOD ST,PHOENIX,Maricopa County,85035,33.464800,-112.216700,Abrazo West Campus,7.808913716113154
94,AZ,C0400017,40063702032,Sequoia Redwood Charter School,1,No,Urban,16454 N 28th Ave,PHOENIX,Maricopa County,85053,33.636436,-112.119656,HonorHealth Deer Valley Medical Center,2.053757374288284
95,AZ,C0400021,40022702017,South Pointe Junior High School,4,No,Urban,217 E Olympic Dr,PHOENIX,Maricopa County,85042,33.373565,-112.071729,Maricopa Integrated Health System,6.356115385309661
96,AZ,C0400022,40025902080,Southgate Academy,1,No,Urban,850 W VALENCIA RD,Tucson,Pima County,85706,32.135300,-110.982700,Banner - University Medical Center Tucson,7.612982461825269
97,AZ,C0400023,40025502075,Tucson Country Day School,1,No,Urban,9239 E WRIGHTSTOWN RD,Tucson,Pima County,85715,32.243600,-110.795300,Banner - University Medical Center Tucson,8.825289994731541
98,AZ,C0400026,40003400707,REID TRADITIONAL SCHOOLS' VALLEY ACADEMY,1,(blank),Urban,1520 W ROSE GARDEN LN,PHOENIX,Maricopa County,85027,33.677900,-112.091900,HonorHealth Deer Valley Medical Center,1.6116258482368662
99,AZ,C0400027,40006701901,VICTORY HIGH SCHOOL - WEST CAMPUS,1,(blank),Urban,1650 W Southern Ave,PHOENIX,Maricopa County,85041,33.392987,-112.094321,Banner - University Medical Center Phoenix,5.399038205119566
100,AZ,C0400029,40001600476,CENTER FOR ACADEMIC SUCCESS #1 - SIERRA VISTA 9-12,1,(blank),Urban,900 CARMELITA DR,SIERRA VISTA,Cochise County,85635,31.563700,-110.302500,Banner - University Medical Center Tucson,60.13769160925246
101,AZ,C0400030,40021902011,Career Success High School - Main Campus,1,No,Urban,3816 N 27Th Ave,PHOENIX,Maricopa County,85017,33.491707,-112.118028,St. Joseph's Hospital and Medical Center,2.340985997654745
102,AZ,C0400034,40007000831,TEMPE PREPARATORY ACADEMY,1,(blank),Urban,1251 E SOUTHERN AVE,TEMPE,Maricopa County,85282,33.392378,-111.918776,Banner Desert Medical Center,2.3955328713869486
103,AZ,C0400036,40010302008,Ombudsman - Charter Metro,1,No,Suburban,7910 N. 43rd Avenue,GLENDALE,Maricopa County,85301,33.551260,-112.152221,Banner Thunderbird Medical Center,4.30575382895802
104,AZ,C0400043,40024401855,Sequoia Secondary School,4,No,Urban,1460 S HORNE,Mesa,Maricopa County,85204,33.387600,-111.816000,Banner Desert Medical Center,3.5432018480609697
105,AZ,C0400046,40032903159,Primavera Online,1,Yes,Urban,2471 N. Arizona Ave.,Chandler,Maricopa County,85225,33.341920,-111.840971,Chandler Regional Medical Center,3.6385348180957253
106,AZ,C0400048,40024801923,Telesis Preparatory Academy,4,No,Urban,2598 STARLITE LN,Lake Havasu City,Mohave County,86403,34.491000,-114.317300,Sunrise Hospital and Medical Center,122.46020411012239
107,AZ,C0400050,40020203141,Academy Of Tucson Elementary School,1,No,Urban,9209 E WRIGHTSTOWN RD,Tucson,Pima County,85715,32.243700,-110.795500,Banner - University Medical Center Tucson,8.813738384797304
108,AZ,C0400055,40008301011,PPEP TEC - CELESTINO FERNANDEZ LEARNING CENTER,1,(blank),Urban,1840 E BENSON HWY,Tucson,Pima County,85714,32.169300,-110.944900,Banner - University Medical Center Tucson,4.960609059267114
109,AZ,C0400056,40008301016,PPEP TEC - CESAR CHAVEZ LEARNING CENTER,1,(blank),Town,1233 N. Main Street,San Luis,Yuma County,85349,32.500636,-114.785955,Desert Regional Medical Center,137.3988416444085
110,AZ,C0400057,40008301018,PPEP TEC - COLIN L. POWELL LEARNING CENTER,1,(blank),Urban,4116 Avenida Cochise Suites F,SIERRA VISTA,Cochise County,85635,31.53232,-110.255629,Banner - University Medical Center Tucson,63.560608324429786
111,AZ,C0400062,40026602089,Pace Preparatory Academy - Camp Verde,1,No,Urban,6711 E 2ND ST,Prescott Valley,YAVAPAI COUNTY,86314,34.579990,-112.348932,Flagstaff Medical Center,59.019010968242895
112,AZ,C0400064,40040902406,Satori Charter School,1,No,Urban,3727 N 1ST AVE,Tucson,Pima County,85719,32.274528,-110.961486,Banner - University Medical Center Tucson,2.4754898381616512
113,AZ,C0400069,40064002031,Sequoia School For The Deaf And Hard Of Hearing - Mesa Campus,4,No,Urban,1460 S HORNE,Mesa,Maricopa County,85204,33.387600,-111.816000,Banner Desert Medical Center,3.5432018480609697
114,AZ,C0400071,40027302013,Student Choice High School - Tempe Campus,1,No,Urban,1833 N SCOTTSDALE RD,TEMPE,Maricopa County,85281,33.449300,-111.925100,HonorHealth Scottsdale Osborn Medical Center,2.724772310629731
115,AZ,C0400073,40040602036,Happy Valley School,1,No,Suburban,7140 W HAPPY VALLEY RD,Peoria,Maricopa County,85383,33.711300,-112.214600,HonorHealth Deer Valley Medical Center,6.474707846947882
116,AZ,C0401001,40039602306,All Aboard Charter School,1,No,Urban,5827 N 35TH AVE,PHOENIX,Maricopa County,85017,33.523400,-112.133600,St. Joseph's Hospital and Medical Center,4.274230507958388
117,AZ,C0401004,40033002206,Compass High School,1,No,Urban,8250 E 22ND ST # 128,Tucson,Pima County,85710,32.205600,-110.816100,Banner - University Medical Center Tucson,7.9948645561267915
118,AZ,C0401005,40032302159,Crown Charter School,1,No,Rural,12450 W MARYLAND AVE,Litchfield Park,Maricopa County,85340,33.530420,-112.327271,Abrazo West Campus,4.903151683689073
119,AZ,C0401006,40027802168,Deer Valley Academy,1,No,Suburban,18424 N 51ST AVE,GLENDALE,Maricopa County,85308,33.653200,-112.169700,Banner Thunderbird Medical Center,3.0922390091476175
120,AZ,C0401007,40027902170,Imagine Charter Elementary School At West Gilbert,1,No,Urban,2645 N 24TH ST,PHOENIX,Maricopa County,85008,33.477330,-112.029661,Maricopa Integrated Health System,1.3982609846910155
121,AZ,C0401011,40039103074,Midtown High School,1,No,Urban,7318 W LYNWOOD ST,PHOENIX,Maricopa County,85035,33.464800,-112.216700,Abrazo West Campus,7.808913716113154
122,AZ,C0401012,40028002186,Mohave Accelerated Learning Center,4,No,Town,625 Marina Blvd,BULLHEAD CITY,Mohave County,86442,35.101079,-114.625631,Sunrise Hospital and Medical Center,76.82459512251678
123,AZ,C0401014,40028802176,Premier Charter High School,1,No,Urban,7544 W INDIAN SCHOOL RD STE A2,PHOENIX,Maricopa County,85033,33.495600,-112.222200,Abrazo West Campus,7.829297094632642
124,AZ,C0401015,40018502147,Sabis International,1,No,Urban,1903 E ROESER RD,PHOENIX,Maricopa County,85040,33.399200,-112.040000,Maricopa Integrated Health System,4.094053018064012
125,AZ,C0401016,40023202022,SELF DEVELOPMENT CHARTER SCHOOL,1,(blank),Urban,1709 N GREENFIELD RD,Mesa,Maricopa County,85205,33.446500,-111.735400,Banner Desert Medical Center,9.071134743189765
126,AZ,C0401018,40025402074,SOUTHERN ARIZONA COMMUNITY ACADEMY,1,(blank),Urban,2470 N Tucson Blvd,Tucson,Pima County,85716,32.251682,-110.9352,Banner - University Medical Center Tucson,0.9776250530749905
127,AZ,C0401019,40021302100,Star Charter School,1,No,Rural,145 LEUPP RD,FLAGSTAFF,Coconino County,86004,35.300130,-111.312321,Flagstaff Medical Center,19.757058385271375
128,AZ,C0401021,40003100689,RIDGELINE ACADEMY INC.,1,(blank),Urban,33625 N NORTH VALLEY PKWY,PHOENIX,Maricopa County,85085,33.790133,-112.120925,HonorHealth Deer Valley Medical Center,8.581191106806864
129,AZ,C0401029,40001601942,CENTER FOR ACADEMIC SUCCESS #3 - DOUGLAS K-4,1,(blank),Town,919 E 3RD ST,Douglas,Cochise County,85607,31.336993,-109.547415,Banner - University Medical Center Tucson,103.20483187884406
130,AZ,C0401030,40028402095,Omega Alpha Academy School,1,No,Town,1402 N SAN ANTONIO AVE,Douglas,Cochise County,85607,31.348800,-109.532600,Banner - University Medical Center Tucson,103.40608506913269
131,AZ,C0401037,40010802145,International Commerce High School - Tempe,1,No,Urban,1105 E BROADWAY RD,TEMPE,Maricopa County,85282,33.407040,-111.922227,Banner Desert Medical Center,2.8450869551950335
132,AZ,C0401046,40024302030,SKYLINE PREP HIGH SCHOOL,1,(blank),Urban,7500 N 40Th Street,PHOENIX,Maricopa County,85042,33.379666,-111.997217,Maricopa Integrated Health System,5.617699757396242
133,AZ,C0401049,40021702010,MISSION MONTESSORI ACADEMY,1,(blank),Urban,12990 E SHEA BLVD,Scottsdale,Maricopa County,85259,33.583500,-111.800800,HonorHealth Scottsdale Osborn Medical Center,9.614402485988364
134,AZ,C0401052,40007402185,Kingman Academy Of Learning - High School,4,No,Town,3420 N BURBANK ST,Kingman,Mohave County,86409,35.223572,-114.028214,Sunrise Hospital and Medical Center,88.37551268128156
135,AZ,C0401055,40008301014,PPEP TEC - ALICE S. PAUL LEARNING CENTER,1,(blank),Urban,409 W McMurray Blvd,CASA GRANDE,Pinal County,85222,32.88672,-111.7576,Chandler Regional Medical Center,29.17180435977266
136,AZ,C0401061,40032002227,Acorn Montessori Charter School,1,No,Urban,8556 E LOOS DR,Prescott Valley,YAVAPAI COUNTY,86314,34.599500,-112.332400,Flagstaff Medical Center,57.38983775721881
137,AZ,C0401064,40034302246,Children Reaching For The Sky Preparatory,1,No,Urban,1844 S ALVERNON WAY,Tucson,Pima County,85711,32.200600,-110.910300,Banner - University Medical Center Tucson,3.4999501112442433
138,AZ,C0401067,40028102187,Masada Charter School,1,No,Town,365 West Cannon Avenue,Colorado City,Mohave County,86021,36.957305,-112.982071,Dixie Regional Medical Center,32.986250137252064
139,AZ,C0401070,40031702202,Khalsa River Montessori School,1,No,Suburban,3701 E RIVER RD,Tucson,Pima County,85718,32.276700,-110.914200,Banner - University Medical Center Tucson,3.0935480784558753
